MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_451,1636.277474,1104.46852,0.0,0.1203,0.1073,Pr-H,9,5,16,sra,111.26363729999998,8.830036
mof_unit_pretest_452,2292.687262,973.53896,2934.21,0.3819099999999999,0.5416,NH2-H,3,13,17,pcu,11.43101511,5.176051999999999
mof_unit_pretest_453,1729.316221,966.10876,1989.61,0.2764,0.2979,Ph-OEt,1,10,16,pcu,12.46489374,5.395758
mof_unit_pretest_454,2018.824267,1071.541333,2214.57,0.30529,0.3464,Cl-F,2,18,24,pcu,14.98191241,5.044693
mof_unit_pretest_455,1651.397857,1243.47632,545.66,0.14769,0.1181,HCO-NH2,4,1,5,acs,28.64543124,7.131697999999999
mof_unit_pretest_456,1088.35357,537.42576,2377.63,0.32879,0.401,H,2,10,26,pcu,10.16582982,4.70112
mof_unit_pretest_457,2562.28506,1147.71344,3053.73,0.3421,0.4599,SO3H-OEt,3,18,19,pcu,12.76631253,5.890234
mof_unit_pretest_458,1906.313545,1100.16036,0.0,0.09572,0.0999,OPr,2,2,5,pcu,57.30015255,8.490905999999999
mof_unit_pretest_459,2416.430001,1275.7696,1712.92,0.24645,0.2811,CN-OEt,3,22,28,pcu,20.83616959,5.547901
mof_unit_pretest_460,1249.208792,766.21866,0.0,0.16562,0.1626,H-CN,3,12,16,pcu,28.3716162,6.32335
mof_unit_pretest_461,1804.664448,855.79488,2256.66,0.32087,0.4075,NH2-OEt,2,14,26,pcu,12.54534496,5.504561
mof_unit_pretest_462,2570.290849,1718.223329,0.0,0.15412,0.1388,H-F,12,9,22,bcu,50.4658749,6.951321000000001
mof_unit_pretest_463,1173.618019,1388.95408,0.0,0.12039,0.0613,SO3H-I,3,1,4,pcu,93.43529769,8.787471
mof_unit_pretest_464,3393.470502,2583.313189,814.65,0.15687,0.1241,CN-F,2,16,16,pcu,18.021669600000003,6.070164
mof_unit_pretest_465,1747.0308760000005,1037.50004,1627.99,0.22464,0.2278,Cl,2,10,29,pcu,60.42556327,6.914606
mof_unit_pretest_466,4135.648053,2148.162556,1825.73,0.37811,0.4384,Cl-NH2,10,54,56,etb,16.22048089,5.644181
mof_unit_pretest_467,6283.104362,2746.14788,2902.84,0.33876,0.4668,Et-SO3H,4,7,27,acs,15.65048015,6.137727
mof_unit_pretest_468,5184.12656,3620.22388,365.82,0.1178,0.1016,OPr-I,12,1,24,bcu,47.01393871,7.027128
mof_unit_pretest_469,1245.399556,767.36268,0.0,0.12933,0.1264,OPr,3,5,7,pcu,46.48380083,7.344711
mof_unit_pretest_470,897.14671,609.1031429999999,1036.54,0.18404,0.1632,CN-F,3,4,10,pcu,21.78945051,6.177318
mof_unit_pretest_471,1129.510993,815.77232,0.0,0.10969,0.0915,Ph,2,1,12,pcu,37.22152439,7.759486
mof_unit_pretest_472,1129.213799,883.22284,0.0,0.0983899999999999,0.0758,COOH-NH2,3,1,14,pcu,57.79833999,7.797528
mof_unit_pretest_473,4145.3072600000005,2645.84184,1268.9,0.2188699999999999,0.2065,SO3H-H,4,6,17,acs,23.07833374,6.07247
mof_unit_pretest_474,1110.486424,919.40522,772.13,0.15557,0.1132,I,2,14,22,pcu,46.22500092,7.639602
mof_unit_pretest_475,2207.728918,1420.759173,0.0,0.1277299999999999,0.1195,F-OMe,9,18,22,sra,107.8065699,8.625424
mof_unit_pretest_476,1620.671226,975.4856,1089.8,0.1708599999999999,0.1709,OMe,3,12,17,pcu,27.65036939,6.871159
mof_unit_pretest_477,2011.082071,1175.174659,1871.42,0.33457,0.3448,Cl-F,2,14,27,pcu,17.56357971,5.572403
mof_unit_pretest_478,2779.456779,1007.90068,4398.24,0.42862,0.7118,Me,2,12,29,pcu,8.893391684,4.283980000000001
mof_unit_pretest_479,2220.536347,1494.5958,949.68,0.16832,0.1506,OH-NH2,9,17,24,sra,23.41335961,5.924015
mof_unit_pretest_480,950.572946,835.41132,478.63,0.10782,0.0739,COOH,2,1,5,pcu,75.37543941,7.877936
mof_unit_pretest_481,1134.467856,823.3453400000001,1154.33,0.2283,0.1894,HCO-Br,2,4,14,pcu,15.88127615,6.178301
mof_unit_pretest_482,2464.378408,1852.80688,0.0,0.06892,0.0552,COOH,9,16,16,sra,75.50016841,7.825025
mof_unit_pretest_483,1410.415928,1260.35784,0.0,0.02528,0.017,NH2-NO2,9,5,2,sra,36.57322702,9.229379
mof_unit_pretest_484,1691.223865,1152.90616,1229.7,0.21996,0.1943,Cl-OH,3,16,24,pcu,14.64794038,5.575004
mof_unit_pretest_485,6981.4988,3724.399706,2093.7,0.34188,0.3859,F-SO3H,3,18,18,pcu,21.15589481,5.800549
mof_unit_pretest_486,5098.648215,2140.1949600000003,2565.13,0.3463199999999999,0.4969,H-Me,2,18,18,pcu,16.65857674,5.230706
mof_unit_pretest_487,1568.85835,1102.34386,1268.27,0.27543,0.2361,OH-Br,2,4,18,pcu,18.64760601,6.025878
mof_unit_pretest_488,1317.843631,873.500882,1351.47,0.22925,0.2083,F-HCO,2,1,16,pcu,21.36764888,5.48125
mof_unit_pretest_489,1069.822842,1450.4259,0.0,0.09935,0.0441,NO2-I,3,1,12,pcu,55.28997186,7.56693
mof_unit_pretest_490,1136.727103,1094.8046,0.0,0.07768,0.0486,Cl-I,2,4,9,pcu,51.44333211,7.897572
mof_unit_pretest_491,2255.88639,1376.58891,1736.04,0.26471,0.2612,F,4,4,19,acs,20.69367521,5.403986
mof_unit_pretest_492,1928.133925,811.56524,3424.69,0.4269699999999999,0.6109,COOH,2,2,5,pcu,12.78475041,4.772687
mof_unit_pretest_493,6290.549905,2525.0307,2884.27,0.4505699999999999,0.676,HCO-Cl,9,3,28,sra,16.056162699999998,6.449573
mof_unit_pretest_494,1511.025794,1176.917373,1042.25,0.22228,0.1719,Br-F,3,14,18,pcu,27.87242826,5.928354
mof_unit_pretest_495,3094.742295,1405.85184,2350.15,0.32244,0.4275,OPr-HCO,3,18,21,pcu,21.43568378,5.7624010000000006
mof_unit_pretest_496,5192.210632,3152.61352,1583.35,0.25926,0.2571,NH2-Cl,12,4,24,bcu,16.04682256,5.574978
mof_unit_pretest_497,5111.486116,1876.68136,2780.45,0.38675,0.6344,OPr-NHMe,3,18,28,pcu,13.62404036,5.515093
mof_unit_pretest_498,1123.95123,629.52112,1691.46,0.26878,0.289,OH,2,4,4,pcu,14.52920759,5.826023999999999
mof_unit_pretest_499,1311.221843,823.4822,850.69,0.13598,0.1304,Me-NHMe,3,10,27,pcu,38.34403097,7.525655
mof_unit_pretest_500,5323.167284,2145.3604,2464.88,0.39288,0.5871,OMe,9,18,28,sra,45.39709237,7.358950999999999
mof_unit_pretest_501,1678.2203780000002,1365.92408,158.08,0.05586,0.0413,Et-NH2,9,4,22,sra,36.12307085,7.842661
mof_unit_pretest_502,1536.1321,859.8679400000001,1189.57,0.1930599999999999,0.2077,Me-H,2,16,24,pcu,16.71280008,6.1689680000000005
mof_unit_pretest_503,2274.553897,1546.8268,0.0,0.10371,0.0918,Pr,3,14,14,pcu,70.59261535,8.549341
mof_unit_pretest_504,1319.359612,750.10002,1586.7,0.2366,0.2506,Cl-Et,2,4,16,pcu,16.63486455,5.892601
mof_unit_pretest_505,2550.090978,1095.86064,2887.67,0.29556,0.4142,NH2-Et,3,18,19,pcu,14.45249062,5.482371
mof_unit_pretest_506,1658.513147,729.27472,3214.75,0.36882,0.5051,OH,3,14,25,pcu,12.63402929,5.369733999999999
mof_unit_pretest_507,4284.170534000001,2222.57984,1861.33,0.29651,0.3442,NHMe-OH,1,9,24,pcu,16.58274993,5.713178
mof_unit_pretest_508,1985.752803,1180.68224,1246.09,0.17902,0.1813,Cl-Et,2,18,24,pcu,28.03144829,6.893741
mof_unit_pretest_509,5068.963215,2233.03042,2562.23,0.36324,0.4966,OH-NHMe,3,9,11,nbo,10.45741255,5.462123
mof_unit_pretest_510,2130.671177,1668.25672,0.0,0.07021,0.054,OMe-COOH,2,9,18,pcu,34.47272745,8.142709
mof_unit_pretest_511,3401.31553,2053.07416,1056.92,0.16537,0.165,CN,9,10,29,sra,73.42241193,7.305103999999999
mof_unit_pretest_512,5290.112879,3192.27904,1225.25,0.17842,0.1781,CN-H,12,22,22,bcu,33.63499308,7.225847
mof_unit_pretest_513,6300.455134000001,2175.06432,3452.09,0.4912399999999999,0.8569,COOH,3,17,17,pcu,11.83268407,4.586882
mof_unit_pretest_514,1950.107984,1629.033943,0.0,0.06656,0.048,F,4,4,9,acs,86.69361497,9.26115
mof_unit_pretest_515,3997.663331,1295.92004,3257.0,0.49118,0.9125,OEt,3,17,27,pcu,11.48792065,5.368953
mof_unit_pretest_516,1985.028078,1371.83436,0.0,0.11771,0.1026,OMe-SO3H,3,1,3,pcu,25.16506049,6.819656
mof_unit_pretest_517,1645.754915,1520.336843,0.0,0.13447,0.0877,F-I,4,5,24,acs,45.03977799,6.761450999999999
mof_unit_pretest_518,2469.028282,935.532263,3242.31,0.4292399999999999,0.6822,F-Et,3,16,18,pcu,10.17046084,4.903283
mof_unit_pretest_519,4593.180708,1462.428299,3919.77,0.45036,0.8518,OPr-F,2,3,13,pcu,10.34685647,5.29171
mof_unit_pretest_520,2169.9097420000003,2157.420836,0.0,0.04143,0.0251,NO2-HCO,10,48,51,etb,44.92299775,7.670282
mof_unit_pretest_521,1156.6500640000002,750.44595,1575.11,0.23776,0.2207,NHMe-I,2,11,14,pcu,13.35334557,5.675132
mof_unit_pretest_522,3249.867987,1468.7386800000002,2559.39,0.34262,0.4565,NO2-CN,9,16,26,sra,41.70312361,6.430353
mof_unit_pretest_523,1166.72071,968.67818,0.0,0.0,0.0,NHMe-Ph,3,14,22,pcu,21.82634065,8.044834
mof_unit_pretest_524,4356.649072,2464.9753600000004,0.0,0.21144,0.225,Me,1,9,15,pcu,15.8727345,5.701179
mof_unit_pretest_525,2898.129515,1192.11336,3090.84,0.40529,0.5934,SO3H-OEt,2,8,22,pcu,12.00824881,6.103881
mof_unit_pretest_526,1114.133483,631.4924,1686.82,0.26893,0.2857,OH,2,1,22,pcu,15.49228326,5.679166
mof_unit_pretest_527,939.867686,593.48902,1132.39,0.18162,0.1732,OPr,2,4,5,pcu,19.13393494,6.088398000000001
mof_unit_pretest_528,1482.535839,671.2801599999999,2364.21,0.34151,0.4542,Et-H,3,4,20,pcu,14.52064935,5.10542
mof_unit_pretest_529,907.567678,645.15676,0.0,0.12247,0.1038,HCO,3,10,18,pcu,66.79266624,7.127314
mof_unit_pretest_530,3663.048909000001,1320.01788,3117.4,0.38621,0.6454,OEt,3,2,7,pcu,12.9917578,5.531725
mof_unit_pretest_531,1609.406093,673.25298,3315.08,0.37822,0.5445,OPr,3,11,17,pcu,10.50881904,4.403933
mof_unit_pretest_532,902.120338,705.48636,0.0,0.1044799999999999,0.0805,HCO-H,2,4,10,pcu,90.72941359,8.053453
mof_unit_pretest_533,1605.038897,1362.580986,0.0,0.0,0.0,F-NH2,9,2,22,sra,72.27271187,10.04545
mof_unit_pretest_534,2999.270231,1493.94154,2391.01,0.30746,0.3717,COOH-NO2,2,18,23,pcu,12.89520548,5.485641
mof_unit_pretest_535,1248.480425,767.36268,934.79,0.13513,0.1324,OPr,3,5,7,pcu,18.964312300000003,6.300104
mof_unit_pretest_536,2998.145741,1132.20684,3650.09,0.35164,0.5608,Me-OPr,2,18,23,pcu,8.66467761,4.990481
mof_unit_pretest_537,1816.348621,1131.2558800000002,1136.05,0.17501,0.1692,NH2-Cl,3,10,29,pcu,49.07261717,7.187831
mof_unit_pretest_538,3095.8098,1810.32702,1546.67,0.2217199999999999,0.2283,OMe-SO3H,12,4,13,bcu,26.14703399,6.279356
mof_unit_pretest_539,2920.143007,1138.06758,3339.24,0.43111,0.6661,Cl,3,14,29,pcu,11.74627912,5.098028
mof_unit_pretest_540,1789.8196879999998,881.5841859999999,2481.17,0.3604,0.4406,F-H,2,14,26,pcu,12.38212942,5.245369
mof_unit_pretest_541,2643.666825,1174.78346,2570.34,0.29428,0.3988,CN-OEt,3,2,16,pcu,11.53789302,5.607457
mof_unit_pretest_542,1870.24604,1624.01252,565.04,0.11207,0.0777,I-H,9,5,18,sra,14.82772578,8.617161999999999
mof_unit_pretest_543,2899.974215,1946.0704,1250.82,0.20381,0.1829,Cl-OH,9,16,17,sra,40.33873555,6.692710000000001
mof_unit_pretest_544,2974.183047,1513.35092,2195.82,0.38266,0.4529,I-Et,3,2,18,pcu,10.87951492,5.100839
mof_unit_pretest_545,1589.087526,887.20824,2431.09,0.3248,0.3503,OH,3,1,17,pcu,16.33092361,5.739617
mof_unit_pretest_546,3877.066803,2901.39768,297.49,0.13622,0.1096,H-OH,4,1,4,acs,64.42263191,6.452689
mof_unit_pretest_547,3894.686316,3189.899693,197.06,0.09271,0.0682,F,4,4,15,acs,62.5792791,8.244468
mof_unit_pretest_548,2105.644791,1452.68808,0.0,0.08571,0.0748,COOH,9,18,24,sra,81.50383459999999,8.760234
mof_unit_pretest_549,3752.442749,2073.49772,1640.67,0.25044,0.2729,H,4,17,17,acs,40.15362582,6.018731
mof_unit_pretest_550,1359.120188,1211.96094,594.3,0.15302,0.1033,I-COOH,9,5,24,sra,27.42488175,6.944380000000001
mof_unit_pretest_551,3562.254425,1380.061789,3119.06,0.35848,0.5572,F-Pr,3,7,16,pcu,11.31429097,5.202496
mof_unit_pretest_552,4397.719525,1640.99976,3137.08,0.41936,0.6768,HCO,9,3,18,sra,31.83665713,6.750181
mof_unit_pretest_553,1128.718562,897.29316,720.56,0.1521799999999999,0.1153,Br-COOH,2,4,11,pcu,32.94776569,6.478448
mof_unit_pretest_554,3893.494516,2721.50016,796.1,0.1560099999999999,0.1344,Et,4,1,11,acs,48.86421228,6.757542
mof_unit_pretest_555,2207.737948,989.61612,2394.43,0.34713,0.4664,NH2-NHMe,3,17,24,pcu,13.17782812,5.138281
mof_unit_pretest_556,1542.800848,962.64828,1512.5,0.22826,0.2203,NO2-H,2,4,18,pcu,35.17027176,6.25597
mof_unit_pretest_557,1118.4721,727.6707200000001,1047.69,0.16354,0.1514,NH2,2,14,22,pcu,21.98808015,6.541102
mof_unit_pretest_558,1300.727126,871.26004,1232.15,0.2204699999999999,0.1982,NO2-H,3,4,16,pcu,36.40484502,6.90762
mof_unit_pretest_559,2301.149351,1990.62624,0.0,0.10217,0.0711,NO2,3,22,22,pcu,38.14413816,7.178661
mof_unit_pretest_560,1363.931648,932.20084,889.41,0.17593,0.155,OMe,9,4,5,sra,19.4234773,5.580781
mof_unit_pretest_561,2150.677291,1139.37252,2106.54,0.29158,0.3315,Cl-OPr,2,13,20,pcu,18.5464168,5.983031
mof_unit_pretest_562,3052.050777,1561.62858,2375.34,0.35505,0.4179,NO2-I,12,4,13,bcu,19.06493565,5.225148
mof_unit_pretest_563,2610.005406,1504.68312,1359.44,0.19664,0.2054,Ph-NO2,9,13,21,sra,22.9881224,6.288094
mof_unit_pretest_564,2927.246192,1021.78056,3119.43,0.38808,0.6695,NHMe-Et,3,3,10,pcu,12.00450648,4.843883
mof_unit_pretest_565,1082.6406470000002,714.854926,0.0,0.20054,0.1829,F-Cl,3,10,26,pcu,16.82990002,6.144181
mof_unit_pretest_566,1308.038511,735.32236,1602.46,0.25743,0.2758,OEt,3,4,16,pcu,22.15342076,6.147303
mof_unit_pretest_567,1497.968935,915.05316,1608.77,0.25986,0.2562,Cl-COOH,3,1,18,pcu,23.38203963,5.765458
mof_unit_pretest_568,3350.944846,1731.58248,2035.7,0.24766,0.2886,NH2,2,16,16,pcu,26.45437147,5.953829
mof_unit_pretest_569,1632.147693,1282.44288,521.6,0.1015799999999999,0.0779,H-NO2,9,4,2,sra,37.93293346,7.097592
mof_unit_pretest_570,2274.323638,1686.74812,471.19,0.1062,0.0862,HCO-Me,3,14,14,pcu,45.17912779,7.598486999999999
mof_unit_pretest_571,2254.965223,1352.65684,0.0,0.13565,0.1362,OMe-HCO,9,11,18,sra,69.55720131,7.851908
mof_unit_pretest_572,2298.707241,851.4391199999999,3129.39,0.45069,0.7328,OEt,3,13,17,pcu,12.35444501,4.9549
mof_unit_pretest_573,3851.886318,1707.152779,3097.65,0.45121,0.6131,H-F,3,38,38,fof,13.04801323,4.904367
mof_unit_pretest_574,1905.014666,1279.70084,1502.09,0.25932,0.2325,SO3H-H,3,2,5,pcu,39.67769545,6.008369999999999
mof_unit_pretest_575,1637.7787970000002,1023.31144,1402.66,0.2394,0.2307,NO2,9,4,11,sra,15.87300568,5.471287
mof_unit_pretest_576,2033.305839,1747.11756,767.19,0.15499,0.1086,OH-Br,2,9,18,pcu,31.66796511,6.520723
mof_unit_pretest_577,4181.582735,2465.24428,0.0,0.12082,0.1234,Pr-NHMe,1,24,24,pcu,16.70227713,6.095968
mof_unit_pretest_578,3498.4796909999995,1454.622936,3225.46,0.39896,0.5778,F-COOH,9,6,18,sra,17.35845046,5.689849
mof_unit_pretest_579,2130.376481,1524.84808,0.0,0.08437,0.071,CN,9,2,18,sra,133.05765490000002,8.743799000000001
mof_unit_pretest_580,2014.093877,1109.94464,1906.06,0.25921,0.2833,COOH-SO3H,2,18,24,pcu,30.19956071,5.750742
mof_unit_pretest_581,2550.766209,1142.32776,2101.19,0.25738,0.3461,Pr-OMe,2,7,10,pcu,14.18077826,6.717892
mof_unit_pretest_582,1783.679947,1053.24472,1983.69,0.31776,0.3241,Br,2,14,26,pcu,20.01597398,5.48117
mof_unit_pretest_583,4207.91458,2089.543136,1973.25,0.3967,0.4811,Et-Br,10,43,54,etb,21.5088892,5.6286510000000005
mof_unit_pretest_584,2794.968256,1565.72644,1600.25,0.22374,0.2405,OH-NH2,9,10,28,sra,39.73816967,6.890239
mof_unit_pretest_585,5431.277461,2289.6810800000003,2911.99,0.3063,0.4376,OMe-H,4,7,7,acs,21.35634226,5.782266
mof_unit_pretest_586,4011.140266,2785.67,805.86,0.15353,0.1331,Pr,4,11,15,acs,35.66643059,6.877653
mof_unit_pretest_587,2055.333661,1080.00464,1684.41,0.25769,0.2953,OH-OMe,2,9,18,pcu,19.65229671,5.595554
mof_unit_pretest_588,1543.971042,1448.50924,1019.83,0.2346,0.1506,Br,2,1,17,pcu,15.95925755,5.507869
mof_unit_pretest_589,1530.93992,985.84572,759.25,0.13567,0.1269,OMe,2,1,18,pcu,22.84230123,6.8580630000000005
mof_unit_pretest_590,1331.961876,697.50896,2213.92,0.30983,0.3563,H-HCO,2,1,13,pcu,21.74312628,5.953868
mof_unit_pretest_591,1335.213219,815.7078,1329.58,0.23744,0.2341,SO3H,2,14,16,pcu,24.56963322,6.240585
mof_unit_pretest_592,1098.848639,745.6794,0.0,0.08132,0.0722,OH-OPr,2,4,24,pcu,27.99258059,7.385299000000001
mof_unit_pretest_593,2182.673992,1970.660877,493.29,0.12642,0.0843,F-Cl,2,22,22,pcu,22.68228294,5.991147
mof_unit_pretest_594,1639.029553,723.63896,2975.33,0.33081,0.4512,NHMe-CN,2,1,23,pcu,13.49805134,5.063808
mof_unit_pretest_595,1652.07784,1060.10556,1473.99,0.25028,0.2349,H-Cl,2,14,23,pcu,25.31734659,5.77343
mof_unit_pretest_596,1172.068041,1217.136666,0.0,0.0,0.0,F-NO2,3,4,22,pcu,34.33581214,6.6750300000000005
mof_unit_pretest_597,2337.390149,977.50764,3038.36,0.39319,0.5662,HCO,3,18,24,pcu,11.77477443,5.349459
mof_unit_pretest_598,3505.035869,1396.75708,3177.16,0.39323,0.5943,Ph,9,6,18,sra,30.70428821,6.067214
mof_unit_pretest_599,1078.896369,946.50568,0.0,0.11382,0.0781,COOH,2,10,10,pcu,64.29638934,7.866691
mof_unit_pretest_600,3500.81381,2091.05494,2087.13,0.33718,0.34,I-NH2,9,6,18,sra,33.27708198,6.277391000000001
mof_unit_pretest_601,1541.737035,1266.15214,853.08,0.17705,0.1298,NO2-I,3,14,18,pcu,50.08706807,7.157073
mof_unit_pretest_602,1925.542201,1347.5486,1191.74,0.21734,0.187,Br-Cl,9,13,24,sra,10.46392552,5.606559
mof_unit_pretest_603,1955.452351,1484.88884,574.92,0.12449,0.0987,H,4,4,4,acs,59.10678498,8.583704
mof_unit_pretest_604,1114.791297,755.18304,1107.37,0.19665,0.1748,NO2-OH,3,4,24,pcu,37.7415638,6.405158999999999
mof_unit_pretest_605,3568.420159,1138.29908,3403.34,0.46108,0.8705,Pr-H,2,17,26,pcu,10.22717227,5.319435
mof_unit_pretest_606,5163.3352,2551.755558,2183.82,0.30244,0.3685,F-Pr,12,12,22,bcu,17.65432981,5.696829
mof_unit_pretest_607,2273.201421,1452.76416,1436.33,0.23493,0.2214,NHMe,4,14,19,acs,27.46888969,5.850702
mof_unit_pretest_608,946.421103,701.4296,0.0,0.125,0.1016,NHMe-Br,2,4,5,pcu,36.72946389,6.342058
mof_unit_pretest_609,1628.845294,919.472036,1909.51,0.24595,0.2624,F-Ph,3,22,25,pcu,10.88930569,5.11402
mof_unit_pretest_610,1605.461325,822.5611200000001,2339.83,0.29959,0.3521,OPr-Br,2,13,14,pcu,14.72665331,5.381412
mof_unit_pretest_611,1145.147794,798.46614,0.0,0.0821399999999999,0.0709,NHMe-OEt,3,4,22,pcu,33.08273533,7.129581
mof_unit_pretest_612,1246.9718369999998,1377.22253,491.37,0.13015,0.071,Et-I,2,14,19,pcu,33.32411965,6.455495
mof_unit_pretest_613,3086.038822,2377.5108800000003,0.0,0.05617,0.0439,H-HCO,9,18,29,sra,47.72107143,9.269446
mof_unit_pretest_614,2508.170001,2076.716797,286.77,0.13874,0.1009,F-SO3H,9,16,16,sra,62.56170654,6.883872
mof_unit_pretest_615,2236.630081,1202.09384,2034.8,0.29579,0.3314,Cl-NHMe,2,17,22,pcu,15.52989332,5.481532
mof_unit_pretest_616,1607.952857,791.7509200000001,2154.08,0.3090199999999999,0.3779,Et,2,13,15,pcu,17.47397166,5.63389
mof_unit_pretest_617,3631.767068,1340.38096,3108.65,0.38369,0.6261,Et-OMe,2,18,27,pcu,16.69855423,5.7386040000000005
mof_unit_pretest_618,1955.990704,1520.656675,0.0,0.08484,0.0657,Me-F,9,13,2,sra,81.49099253,9.066821
mof_unit_pretest_619,1049.134677,569.0608,2393.15,0.29196,0.3242,HCO,3,10,25,pcu,13.78583101,5.440657
mof_unit_pretest_620,1987.603941,2311.93004,0.0,0.08447,0.0437,Br-Cl,4,1,22,acs,69.30536615,7.763494000000001
mof_unit_pretest_621,2948.179249,1263.025679,3328.51,0.34115,0.4795,F-NHMe,2,11,29,pcu,15.28979621,5.448308
mof_unit_pretest_622,4466.609639,1394.134446,4111.38,0.44577,0.8601,OPr-F,3,3,13,pcu,6.706266172,4.951499
mof_unit_pretest_623,1500.454643,979.97692,588.52,0.10374,0.0957,NHMe-OPr,2,14,20,pcu,21.52478434,5.833144
mof_unit_pretest_624,5173.656274,3179.986918,1205.87,0.19095,0.1871,F-OMe,12,4,11,bcu,26.91296767,6.347084
mof_unit_pretest_625,3305.832961,1889.11208,848.22,0.19466,0.2051,HCO-NHMe,9,17,25,sra,29.39355756,7.650923
mof_unit_pretest_626,1955.434013,1535.93404,260.47,0.10887,0.0835,H-NO2,4,4,22,acs,77.34875277,8.210472
mof_unit_pretest_627,4085.04951,4190.459533,0.0,0.05732,0.0336,SO3H-F,4,11,14,acs,99.69745969,9.811625
mof_unit_pretest_628,2230.634438,1256.13212,1587.99,0.25142,0.2689,SO3H,2,9,17,pcu,34.64757268,6.408318
mof_unit_pretest_629,2051.397131,995.66984,2740.93,0.34883,0.4328,COOH-H,2,16,20,pcu,16.99888311,5.620591
mof_unit_pretest_630,1162.689537,619.2056,2011.74,0.2787,0.3152,Me,3,12,15,pcu,14.12647858,5.322498
mof_unit_pretest_631,1684.261011,1381.1472,516.63,0.1256,0.0922,Cl-NO2,9,11,2,sra,42.95462375,6.783503
mof_unit_pretest_632,2269.464157,972.4038,2895.34,0.37106,0.5215,Cl-OMe,3,2,9,pcu,12.13952734,5.136142
mof_unit_pretest_633,2812.856436,1840.89704,761.75,0.13521,0.1244,NO2-Ph,9,2,13,sra,50.41250335,7.346977000000001
mof_unit_pretest_634,8289.864795,2432.448373,4037.83,0.46586,0.9561,OPr-F,2,34,35,pts,11.05440687,5.547907
mof_unit_pretest_635,2962.295246,2298.045956,705.38,0.15594,0.121,OMe-SO3H,10,43,56,etb,20.36970729,6.676969000000001
mof_unit_pretest_636,3765.462031,2800.35072,0.0,0.10579,0.0857,OH-Ph,3,38,38,fof,33.3263354,6.4853
mof_unit_pretest_637,2263.699746,951.83412,2990.44,0.37293,0.5341,HCO,2,2,9,pcu,15.47847997,5.101895
mof_unit_pretest_638,1341.055515,833.1244,1500.89,0.22391,0.2171,NO2-HCO,3,11,13,pcu,29.83107173,6.042294999999999
mof_unit_pretest_639,3432.285049,1420.6324,3092.84,0.39831,0.5795,H-NHMe,3,36,36,pts,15.67028342,5.34028
mof_unit_pretest_640,1401.571191,799.34168,1545.21,0.23822,0.2515,Cl-OEt,2,12,21,pcu,11.99108476,5.550996
mof_unit_pretest_641,4042.817270000001,1764.983459,2218.08,0.39065,0.5389,F-OMe,9,3,17,sra,10.37343021,5.057329
mof_unit_pretest_642,2446.281359,1271.634438,2556.51,0.30984,0.3589,Me-F,3,22,28,pcu,17.15970177,5.085586
mof_unit_pretest_643,1122.651082,885.79834,1261.92,0.23818,0.1818,I-Cl,3,1,4,pcu,16.97930087,5.768431
mof_unit_pretest_644,2437.443171,1288.57312,1615.02,0.21244,0.242,OMe,9,18,19,sra,64.32997938,7.275722
mof_unit_pretest_645,1922.647351,1762.00433,518.74,0.1302299999999999,0.0856,I-Me,9,13,24,sra,41.47750736,7.068922
mof_unit_pretest_646,1158.493719,593.53208,2118.42,0.28484,0.3348,Me-H,2,11,14,pcu,16.41606232,5.384355
mof_unit_pretest_647,1667.824297,1249.41222,0.0,0.13455,0.1082,Cl-HCO,9,11,2,sra,47.38482249,7.492632
mof_unit_pretest_648,1444.953132,1045.1961,835.27,0.16526,0.1376,I-Ph,3,12,18,pcu,27.02049112,6.20531
mof_unit_pretest_649,2863.402376,1105.9624,4284.47,0.39541,0.6165,Me-CN,2,1,29,pcu,12.01224871,4.833208
mof_unit_pretest_650,1828.277663,1003.42564,2039.73,0.2446,0.2684,CN,3,10,29,pcu,30.55970787,6.607136
mof_unit_pretest_651,1864.078167,783.36516,2942.43,0.38223,0.5477,Et-OH,3,13,16,pcu,12.26889327,4.739954
mof_unit_pretest_652,1943.365754,1604.794832,0.0,0.0,0.0,OPr-F,9,11,16,sra,37.45816716,9.88596
mof_unit_pretest_653,1641.582986,1013.77149,0.0,0.16729,0.1631,OEt-I,2,4,23,pcu,23.77991315,6.241965
mof_unit_pretest_654,2255.387183,1402.6807199999998,1619.5,0.25636,0.2482,SO3H,4,4,19,acs,29.89659128,6.024518
mof_unit_pretest_655,2398.782007,1005.83844,2829.77,0.37356,0.5365,HCO-H,2,16,26,pcu,15.13872817,4.923702
mof_unit_pretest_656,2283.6528510000003,1275.9207199999998,1281.14,0.19249,0.2075,HCO-OEt,3,2,22,pcu,15.01305665,5.909529
mof_unit_pretest_657,1728.3261690000002,1001.615636,1562.38,0.21619,0.2246,F-Et,3,16,22,pcu,24.04005533,6.18489
mof_unit_pretest_658,3277.893375,1778.70024,1928.82,0.25956,0.2881,H-NO2,9,16,26,sra,38.58564805,6.343509
mof_unit_pretest_659,2352.641249,1043.93784,2853.66,0.3411599999999999,0.463,NHMe-H,2,24,28,pcu,11.37889718,4.994071
mof_unit_pretest_660,1664.235106,1474.7521,667.43,0.13752,0.0935,Br-OH,9,11,2,sra,70.01845018,7.415757000000001
